LOC_ID                          CLUSTER             P_VALUE             GBL_PVALUE          CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
1847                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11654e+06         1.00656e+07         F 
1839                            2                   0.536               0.53                22                  8.85                2.48                1                   0.19                5.20                3.11936e+06         1.00687e+07         F 
1812                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11738e+06         1.00678e+07         F 
1640                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.1214e+06          1.00682e+07         F 
1672                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.1214e+06          1.00682e+07         F 
1818                            2                   0.536               0.53                22                  8.85                2.48                0                   0.19                0                   3.11933e+06         1.00689e+07         F 
1865                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11832e+06         1.00686e+07         F 
1805                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11856e+06         1.00687e+07         F 
1861                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11864e+06         1.00688e+07         F 
1641                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12277e+06         1.00663e+07         F 
2509                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11672e+06         1.00641e+07         F 
1825                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12024e+06         1.00689e+07         F 
1860                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11648e+06         1.00668e+07         F 
1649                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12125e+06         1.00685e+07         F 
1066                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11622e+06         1.00658e+07         F 
1087                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11622e+06         1.00658e+07         F 
1047                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11622e+06         1.00656e+07         F 
2507                            2                   0.536               0.53                22                  8.85                2.48                0                   0.19                0                   3.11844e+06         1.00625e+07         F 
1829                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11949e+06         1.00691e+07         F 
1843                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11958e+06         1.00691e+07         F 
1870                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11958e+06         1.00691e+07         F 
938                             2                   0.536               0.53                22                  8.85                2.48                0                   0.19                0                   3.11616e+06         1.00652e+07         F 
1635                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.12124e+06         1.00687e+07         F 
1665                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.12124e+06         1.00687e+07         F 
1853                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11928e+06         1.00692e+07         F 
1820                            2                   0.536               0.53                22                  8.85                2.48                0                   0.19                0                   3.11925e+06         1.00692e+07         F 
2476                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11867e+06         1.00623e+07         F 
1855                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11801e+06         1.00689e+07         F 
3123                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12093e+06         1.0069e+07          F 
1851                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11761e+06         1.00687e+07         F 
1857                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11916e+06         1.00693e+07         F 
1655                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12296e+06         1.00669e+07         F 
1634                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12189e+06         1.00685e+07         F 
315                             2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11644e+06         1.00637e+07         F 
1831                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11896e+06         1.00694e+07         F 
1864                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11896e+06         1.00694e+07         F 
2395                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11944e+06         1.00619e+07         F 
3117                            2                   0.536               0.53                22                  8.85                2.48                0                   0.19                0                   3.1197e+06          1.00695e+07         F 
3141                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11933e+06         1.00695e+07         F 
1832                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11666e+06         1.00682e+07         F 
1836                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11666e+06         1.00682e+07         F 
1801                            2                   0.536               0.53                22                  8.85                2.48                1                   0.19                5.20                3.11872e+06         1.00694e+07         F 
1639                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.12227e+06         1.00685e+07         F 
1666                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.12227e+06         1.00685e+07         F 
1834                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11863e+06         1.00695e+07         F 
1873                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11682e+06         1.00686e+07         F 
1071                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11575e+06         1.00668e+07         F 
1164                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11575e+06         1.00668e+07         F 
1643                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12348e+06         1.0065e+07          F 
3130                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.119e+06           1.00697e+07         F 
3154                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.12223e+06         1.00687e+07         F 
3155                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.12223e+06         1.00687e+07         F 
1654                            2                   0.536               0.53                22                  8.85                2.48                0                   0.19                0                   3.12344e+06         1.00668e+07         F 
1808                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11785e+06         1.00693e+07         F 
308                             2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.1158e+06          1.00642e+07         F 
1824                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11733e+06         1.00691e+07         F 
1673                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12353e+06         1.00667e+07         F 
1871                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11831e+06         1.00696e+07         F 
1004                            2                   0.536               0.53                22                  8.85                2.48                1                   0.19                5.20                3.1155e+06          1.00663e+07         F 
