LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
3147                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11804e+06         1.00701e+07         F 
2930                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12555e+06         1.00719e+07         F 
2957                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12555e+06         1.00719e+07         F 
1642                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1237e+06          1.00648e+07         F 
2935                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12534e+06         1.00721e+07         F 
1808                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11785e+06         1.00693e+07         F 
3105                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1179e+06          1.00699e+07         F 
2936                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12579e+06         1.00718e+07         F 
1816                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11779e+06         1.00696e+07         F 
3112                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11782e+06         1.007e+07           F 
3153                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11788e+06         1.00704e+07         F 
3165                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11788e+06         1.00704e+07         F 
3168                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11788e+06         1.00704e+07         F 
1823                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.11767e+06         1.00695e+07         F 
2962                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12542e+06         1.00724e+07         F 
1851                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.11761e+06         1.00687e+07         F 
1826                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11778e+06         1.00677e+07         F 
3137                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11795e+06         1.00708e+07         F 
3152                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11795e+06         1.00708e+07         F 
2235                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12596e+06         1.00719e+07         F 
2259                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12596e+06         1.00719e+07         F 
1849                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.1176e+06          1.00697e+07         F 
3133                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.118e+06           1.00711e+07         F 
2231                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.1251e+06          1.00652e+07         F 
2236                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.1251e+06          1.00652e+07         F 
2238                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.1251e+06          1.00652e+07         F 
2948                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.12589e+06         1.0072e+07          F 
1822                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.11834e+06         1.00662e+07         F 
3146                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11807e+06         1.00715e+07         F 
1827                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11743e+06         1.00699e+07         F 
1868                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11743e+06         1.00699e+07         F 
3135                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11896e+06         1.00727e+07         F 
1824                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.11733e+06         1.00691e+07         F 
1659                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11988e+06         1.00646e+07         F 
2219                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.12605e+06         1.00722e+07         F 
2249                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.12723e+06         1.00688e+07         F 
1812                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11738e+06         1.00678e+07         F 
3160                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11741e+06         1.00703e+07         F 
3107                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11736e+06         1.00702e+07         F 
1830                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11725e+06         1.00699e+07         F 
